zip_code,project_status,planning_neighborhood,lead_agency,general_housing_program,specific_program_area,project_type,housing_tenure,project_lead_sponsor,total_project_units,mohcd_affordable_units,%_affordable,sro_units,studio_units,1bd_units,2bd_units,3bd_units,4bd_units,5+_bd_units,mobility_units,family_units,senior_units,tay_units,homeless_units,disabled_units,losp_units,public_housing_replacement_units,20%_ami,30%_ami,40%_ami,50%_ami,55%_ami,60%_ami,80%_ami,90%_ami,100%_ami,105%_ami,110%_ami,120%_ami,130%_ami,150%_ami,ami_undeclared
94109,Building Rehabilitation (Pre-Construction),Western Addition,MOHCD,MOHCD Preservation,Big Sites Program,Rehabilitation,Rental,Tenderloin Neighborhood Development Corporation (TNDC),108,108,100,0,78,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0
94109,Construction,Marina,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,"Van Ness Terraces, LLC",60,18,30,0,0,11,7,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,6,0,0
94109,Construction,Nob Hill,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,"1567 California, LLC",100,9,9,0,2,3,3,1,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,2,0,0,0,0
94109,Pre-Construction,Downtown/Civic Center,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,430 Eddy Associates LLC,23,3,13,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
94109,Pre-Construction,Downtown/Civic Center,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,Elevation Architects,12,1,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
94109,Pre-Construction,Downtown/Civic Center,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,"Reuben, Junius & Rose, LLP",21,3,14,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
94109,Pre-Construction,Downtown/Civic Center,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,Julie Heinzler,221,35,16,0,13,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,0,6,0,0,0,6,0,0,0,0
94109,Pre-Construction,Downtown/Civic Center,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,"Reuben, Junius & Rose, LLP",69,17,25,0,0,6,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,4,0,0,0,0
94109,Pre-Construction,Nob Hill,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,1525 Pine Street Dev LLC,21,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
94109,Pre-Construction,Nob Hill,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,Ian Birchall,63,11,17,0,0,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,3,0,0,0,0
94110,Building Rehabilitation (Construction),Mission,MOHCD,MOHCD Preservation,Small Sites Program,Rehabilitation,Rental,Mission Economic Development Agency,5,5,100,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
94110,Building Rehabilitation (Construction),Mission,MOHCD,MOHCD Preservation,Small Sites Program,Rehabilitation,Rental,San Francisco Community Land Trust,20,20,100,14,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
94110,Building Rehabilitation (Construction),Mission,SFRA,MOHCD 100% Affordable,Multifamily Rental Program,Rehabilitation,Rental,Bernal Heights Housing Corporation,9,9,100,0,6,3,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
94110,Building Rehabilitation (Pre-Construction),Mission,MOHCD,MOHCD Preservation,Big Sites Program,Rehabilitation,Rental,Mission Economic Development Agency,35,35,100,2,28,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
94110,Construction,Bernal Heights,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,Bernal Heights Neighborhood Center,35,34,97,0,34,0,0,0,0,0,6,34,0,0,0,0,0,0,0,11,0,0,15,0,8,0,0,0,0,0,0,0,0
94110,Construction,Bernal Heights,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,"Mercy Housing CA 108, LP",146,145,99,0,145,0,1,0,0,0,0,0,0,0,145,0,145,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0
94110,Construction,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,Ian Birchall,35,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
94110,Construction,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,Muhammad A. Nadhiri,117,19,16,0,4,8,7,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
94110,Construction,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,"RRTI, Inc.",75,8,11,0,2,4,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0
94110,Construction,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,Y.A. Studio,18,2,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
94110,Construction,Mission,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,Chinatown Community Development Center,168,167,99,0,15,32,76,44,0,0,27,120,0,0,42,0,42,0,0,40,19,15,0,0,93,0,0,0,0,0,0,0,0
94110,Pre-Construction,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,Riyad Ghannam,57,11,19,0,0,6,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,3,0,0
